case_id,activity,timestamp,resource,cost,department,priority
CASE003,Send PO to Vendor,2024-01-16 15:00:00,Email System,10,Procurement,Low
CASE003,Confirm Order,2024-01-17 10:00:00,Vendor Portal,0,External,Low
CASE003,Receive Goods,2024-01-22 14:00:00,Warehouse Staff,40,Warehouse,Low
CASE003,Goods Inspection,2024-01-22 15:00:00,Quality Control,80,Quality,Low
CASE003,Post Goods Receipt,2024-01-22 16:00:00,ERP System,20,Finance,Low
CASE003,Receive Invoice,2024-01-24 09:00:00,AP System,15,Finance,Low
CASE003,Match 3-Way,2024-01-24 10:00:00,AP Clerk,60,Finance,Low
CASE003,Approve Payment,2024-01-24 14:00:00,CFO,100,Finance,Low
CASE003,Process Payment,2024-01-25 11:00:00,Payment System,25,Finance,Low
CASE003,Close Case,2024-01-25 11:30:00,ERP System,10,Marketing,Low
CASE004,Submit Purchase Request,2024-01-16 08:00:00,Alice Brown,50,Operations,High
CASE004,Validate Budget,2024-01-16 08:30:00,Finance System,25,Finance,High
CASE004,Manager Approval,2024-01-16 10:00:00,Mike Davis,75,Management,High
CASE004,Vendor Selection,2024-01-16 13:00:00,Alice Brown,60,Operations,High
CASE004,Create Purchase Order,2024-01-16 15:00:00,Procurement System,30,Procurement,High
CASE004,Send PO to Vendor,2024-01-16 15:30:00,Email System,10,Procurement,High
CASE004,Vendor Delay Notification,2024-01-18 10:00:00,Email System,10,Procurement,High
CASE004,Escalate to Manager,2024-01-18 11:00:00,Alice Brown,50,Operations,High
CASE004,Manager Contact Vendor,2024-01-18 14:00:00,Mike Davis,80,Management,High
CASE004,Confirm Revised Delivery,2024-01-19 09:00:00,Vendor Portal,0,External,High
CASE004,Receive Goods,2024-01-25 14:00:00,Warehouse Staff,40,Warehouse,High
CASE004,Goods Inspection,2024-01-25 15:00:00,Quality Control,80,Quality,High
CASE004,Post Goods Receipt,2024-01-25 16:00:00,ERP System,20,Finance,High
CASE004,Receive Invoice,2024-01-27 09:00:00,AP System,15,Finance,High
CASE004,Match 3-Way,2024-01-27 10:00:00,AP Clerk,60,Finance,High
CASE004,Approve Payment,2024-01-27 14:00:00,CFO,100,Finance,High
CASE004,Process Payment,2024-01-28 11:00:00,Payment System,25,Finance,High
CASE004,Close Case,2024-01-28 11:30:00,ERP System,10,Operations,High
CASE005,Submit Purchase Request,2024-01-16 09:00:00,Charlie Green,50,HR,Medium
CASE005,Validate Budget,2024-01-16 09:30:00,Finance System,25,Finance,Medium
CASE005,Manager Approval,2024-01-16 11:30:00,Sarah Johnson,75,Management,Medium
CASE005,Vendor Selection,2024-01-16 14:30:00,Charlie Green,60,HR,Medium
CASE005,Create Purchase Order,2024-01-16 16:00:00,Procurement System,30,Procurement,Medium
CASE005,Send PO to Vendor,2024-01-16 16:30:00,Email System,10,Procurement,Medium
CASE005,Confirm Order,2024-01-17 11:00:00,Vendor Portal,0,External,Medium
CASE005,Receive Goods,2024-01-23 10:00:00,Warehouse Staff,40,Warehouse,Medium
CASE005,Goods Inspection,2024-01-23 11:00:00,Quality Control,80,Quality,Medium
CASE005,Quality Issue Identified,2024-01-23 11:30:00,Quality Control,100,Quality,Medium
CASE005,Contact Vendor,2024-01-23 12:00:00,Charlie Green,50,HR,Medium
CASE005,Return Goods,2024-01-23 15:00:00,Warehouse Staff,60,Warehouse,Medium
CASE005,Receive Replacement,2024-01-26 10:00:00,Warehouse Staff,40,Warehouse,Medium
CASE005,Goods Inspection,2024-01-26 11:00:00,Quality Control,80,Quality,Medium
CASE005,Post Goods Receipt,2024-01-26 12:00:00,ERP System,20,Finance,Medium
CASE005,Receive Invoice,2024-01-28 09:00:00,AP System,15,Finance,Medium
CASE005,Match 3-Way,2024-01-28 10:00:00,AP Clerk,60,Finance,Medium
CASE005,Approve Payment,2024-01-28 14:00:00,CFO,100,Finance,Medium
CASE005,Process Payment,2024-01-29 11:00:00,Payment System,25,Finance,Medium
CASE005,Close Case,2024-01-29 11:30:00,ERP System,10,HR,Medium
